Question,Answer
Can I create an open access journal through the University of South Carolina Libraries?,"## Create and Manage Open Access Journals
The University of South Carolina Libraries offers software and support for the creation and management of open access journals. The library uses [Digital Commons software to host journals](https://www.bepress.com/reference_guide_dc/managing-publishing-journals/). Benefits of using this software include support for all types of content, search engine optimization, access to detailed analytics, and flexible peer-review workflows.
USC affiliated faculty are eligible for free journal hosting and support. Before launching a new journal, you’ll need to carefully consider the details of your journal, including people, policies, content, production, design, workflow, and sustainability. In most cases, you'll be asked to sign a memorandum of understanding with the University Libraries to delineate expectations and responsibilities.

[Learn more here](https://www.bepress.com/reference_guide_dc/managing-publishing-journals/)"
What details should I consider when creating an open access journal?,"## Details
- Is this title already in use? Check [WorldCat](https://www.worldcat.org/) and [Ulrichsweb](https://login.pallas2.tcl.sc.edu/login?url=http://www.ulrichsweb.serialssolutions.com) to confirm that the title is available. Make sure that the title is clear and can be abbreviated.
- The library will provide a consultation to help you create a landing page for the journal. You will need to provide a color scheme and a banner or cover photo. You should also consider if you will need to create issue covers and images within the journal. You may wish to consult other [journals published through Digital Commons](https://www.bepress.com/categories_jnl/all-journals/) as examples of what is possible.
- What subject areas and topics will the journal cover? What is the purpose of the journal? Are there existing journals with similar content? If so, what will make this journal unique? Who is the intended audience of this journal?
- What types of materials will be accepted? Only research articles, or will you allow reviews, opinion pieces, videos, etc.? How will you solicit quality content over an extended period of time?
- How often will issues/articles be published? Will articles be published as received or bundled as issues?
- Will you [assign DOIs](https://www.doi.org/) to content? Digital Commons does not automatically assign DOIs, but USC Libraries is a [Crossref](https://www.crossref.org/) member and can work with you to incorporate a DOI assignment workflow. The Libraries will be responsible for the cost of registering current content. If you would like to assign DOIs to backfiles, you will be responsible for the cost.
- Journal indexing will make your journal and its content more discoverable. All new journals are required to obtain an ISSN. Once you have an ISSN, register with [Ulrich's Periodical Directory](https://login.pallas2.tcl.sc.edu/login?url=http://www.ulrichsweb.serialssolutions.com) by emailing [ulrichs@proquest.com](mailto:ulrichs@proquest.com). In the email, include the journal name, publisher name (University of South Carolina Libraries), and any other relevant details. Read the [FAQs](http://www.ulrichsweb.com/ulrichsweb/faqs.asp) for more details. If your journal meets the [criteria](https://doaj.org/publishers#applying), register it with the [Directory of Open Access Journals](https://doaj.org/application/new). Check [Google Scholar ](https://scholar.google.com/) to see if your journal appears. If it does not, [register it](http://www.google.com/support/scholar/bin/request.py). There will be additional indexing opportunities dependent on your discipline. You will likely be familiar with the databases used heavily in your field. Each will have different policies and procedures that are typically available from their website.
- What is your expected timeline? Plan on allowing one or two years of preparation time for the first journal issue to be released. When would you like to issue the first call for papers? What is your target date for the first issue?

[Learn more here](https://www.bepress.com/reference_guide_dc/managing-publishing-journals/)"
What roles are needed to manage an open access journal?,"## Managing Open Access Journals
## People
- Who will serve as journal manager, the person who is primarily responsible for this journal during the planning stages and after the journal has launched?You will likely need a managing editor to create and publish journal issues, monitor submissions, and assign peer-reviewers. You may  need section editors to manage specific articles. Additionally, you will need production staff who handle tasks such as copyediting, layout, and proofing. You'll also likely need an editorial board, authors, and reviewers.While there certainly can be overlap in these roles (for example, you may choose to ask your editorial board to act as reviewers or content shepherds) and you don't necessarily need to have names in place to start the journal creation process, keep in mind tht these roles will continue to be necessary throughout the life of the journal. You should have an idea of how you will recruit participants.We recommend that you establish documentation detailing responsibilities and terms for each of these roles.

- How will you recruit and train new board members and staff? How often will turnover take place? Do you have an idea of how long you will retain primary responsibility for the journal and who will replace you if you can no longer act as the journal manager?

[Learn more here](https://guides.library.sc.edu/scholarcommons/new)"
What policies should be established for an open access journal?,"## Policies
- How will submitted manuscripts be considered for inclusion? How will manuscripts be checked for plagiarism and/or copyright violations?

- What kind of review will each submission require? Describe the procedure in detail, including the peer review process and reviewer guidelines if applicable. Digital Commons includes[workflow procedures for peer review](https://www.bepress.com/reference_guide_dc/3150/), but you should have an idea of what type of peer review is appropriate for your journal.Who will be involved in the peer review process?

- All journals will be available open access immediately upon publication if hosted through the University of South Carolina Libraries. The open access policy should be clearly stated on the journal's webpage and on author submission agreements.

- Who will hold the copyright for submissions? Many open access journals release content under a Creative Commons license.[Creative Commons](https://creativecommons.org/choose/)has a selection tool for picking an appropriate license.Develop preliminary public statements for copyright policies, including rights, usage, attribution, and exceptions. You may wish to consult other journals in your field or[published through Digital Commons](https://www.bepress.com/categories_jnl/all-journals/)as examples.In the event of a copyright infringement claim or other legal challenge, USC Libraries may require the journal to remove the offending content from the journal.

[Learn more here](https://guides.library.sc.edu/scholarcommons/new)"
What is the attribution for this work?,"## Attribution
Parts of this work are derived from [Creating a New OJS Journal: Decisions](http://libguides.bc.edu/ld.php?content_id=42736086) created by Boston College Libraries, which is licensed under a [Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported license](https://creativecommons.org/licenses/by-nc-sa/3.0/).
This page is licensed under a [Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported license](https://creativecommons.org/licenses/by-nc-sa/3.0/).

[Learn more here](https://guides.library.sc.edu/scholarcommons/new)"
What should I consider when planning a digital scholarship project?,"## Plan your Project
Creating digital scholarship can take years of research, planning, and coordination, which is why it's important to create a project plan and timeline as early as possible. While your plan may evolve and need to be updated over time, it's a good idea to use it as a guide to stay organized. Here are some factors to consider:
- What is the primary purpose of your project? Think of a way to describe your project in two or three sentences. This abstract can be used to pitch to funders or to communicate with your intended audience and peers.

- Who will the audience be for your project? In most cases, it's available on the web, it will be available to anyone, but who would be most interested in your site? Consider how others might use or reuse your content.

- Digital scholarship projects often, but not always, involve collaboration. Will you need to work with others, and if so, what roles will they play?

- What content management system (CMS) or platform would be the most effective for hosting your project? Do you already know how to use the CMS, or do you need training or assistance? Are there any preliminary or ongoing costs associated with your CMS of choice? For more information on choosing a CMS and the options available to you, visit[Content Management Systems.](https://sc.libapps.com/libguides/admin_c.php?g=943207&p=6798782)

- What types of digital tools will you need beyond the CMS? If you plan to incorporate visualizations, annotations, maps, timelines, databases, or other types of digital content, you will need to be able to select and use these tools. Learn more from[Digital Tools](https://guides.library.sc.edu/digitalscholarship/tools).

- Where will you store your master files and data? Many CMS have limited storage space available. The Libraries may offer storage options for different uses. Your University affiliation may effect your storage options, so consider if you will continue to need to host the content over a short time period or many years.

- Good metadata, or information describing the various aspects of your project, is essential for helping users locate and access your project. How will you describe the files, pages, and other content included on your website? Some platforms, like Omeka, make it easy to incorporate metadata throughout your project.

- You'll need to consider both your copyrights and the copyrights of others as you develop your product. Just because you've published your materials on the web doesn't mean that they aren't copyrighted. Consider[assigning a Creative Commons license](https://creativecommons.org/choose/)to your works to grant users specific permissions for using your works. You'll also want to carefully consider if and how you reuse the copyrighted works, including text, videos, images, etc., of others.[Learn more about copyright, permissions, and licensing](https://guides.library.sc.edu/copyright). If there are privacy concerns, make sure they are addressed before publishing content.

- Your project isn't finished once it's available online. Your website will need to be maintained and updated regularly. If your hosting service relies on funds or institutional credentials, consider how you might maintain access after your initial funding expires or if you leave your institution. If you remove the website, consider archiving your site for your own or external purposes. Explore our[Web Archiving](https://sc.libapps.com/libguides/admin_c.php?g=943207&p=6798779)page for more information.

- Consider how you will promote and share your project. You may want to share your project through relevant teaching and scholarship Listservs, a[scholarship](http://guides.library.sc.edu/openaccessresources/repositories)or[teaching](http://guides.library.sc.edu/OER/createOER)repository, or through social media.

- Are there funding opportunities available to support your project? Many organizations offer grants and other forms of funding for digital scholarship projects. [Learn more about funding opportunities](https://neh.gov/grants/odh/digital-humanities-advancement-grants).

[Visualizing Objects, Places, and Spaces: A Digital Project Handbook](https://handbook.pubpub.org/) is a great resource for those interested in creating a digital project. It offers thorough, practical guidance from planning through implementation.
## Attribution
Portions of this page are derived from [Digital Scholarship Research Guide: Plan Your Project](https://guides.lib.uw.edu/bothell/digitalscholarship/plan), which was shared under a [CC BY-NC 4.0 License](https://creativecommons.org/licenses/by-nc/4.0/) and was created by [Denise Hattwig](http://guides.lib.uw.edu/prf.php?account_id=92090). This page is licensed under a [CC BY-NC 4.0 License](https://creativecommons.org/licenses/by-nc/4.0/).

[Learn more here](https://guides.library.sc.edu/digitalscholarship/projects)"
What is the Digital Projects Showcase?,"## Digital Projects Showcase
### See what you can do with USC Create Digital"
Can I see examples of digital projects created at USC?,"[
#### Biological Anthropology 161
 Dr. Kelly Goldberg designed a website to make her labs and course available virtually.
](https://anth161.goldberg.uofsccreate.org/)[
#### The Criminal Justice System: Experience the Inside
 Dr. Hayden Smith created virtual tours and exercises for his students to learn about the criminal justice system.
](https://www.haydensmith.uofsccreate.org/)[
#### Digital Campaign Project
 Dr.  Joshua Meyer-Gutbrod in Political Science with the help of Digital Humanities Working Group staff member, Sophia Riley, has created a landing page to present and discuss his research and methodology studying state campaign rhetoric by archiving campaign websites for state-level elections. The site includes the capability to search the archived data for topics and candidate information.
](https://digitalcampaignsproject.uofsccreate.org/)[
#### Justicia
Justicia is a project created by Rebecca Janzen to provide insights into criminal justice processes in Mexico.
](https://justicia.rebeccajanzen.uofsccreate.org/)[
#### McKissick Museum Exhibit
The museum is creating online exhibits showcasing their diverse collections.
](http://mckissick.uofsccreate.org/exhibitions/)[
#### The Rainbow Connection
The Rainbow Connection is a site that provides an annotated bibliography of children’s materials featuring LGBTQIA themes and characters, including tools and ideas for incorporating these picture books into classrooms, libraries, and homes.
](https://sccclrc.usccreate.org/)[
#### Wind Energy Learning Module
Matt McGrievy and Stephanie Ruiz created a learning module to help students understand wind energy.
](https://mjm.uofsccreate.org/learn/)"
Are there more digital projects I can explore?,"[
#### The Digital Piranesi
 Center for Digital Humanities, Irvin Department of Rare Books and Special Collections, and Digital Collections worked together to bring these large 18th century illustrations online using Scalar. Funded through an NEH grant.
](https://scalar.usc.edu/works/piranesidigitalproject/index)[
#### Germanic Linguistics Consolidation Project
 Middle-Aged Medievalist serves to share the language, history, mythology, and culture of the medieval peoples who spoke medieval languages.
](https://www.middleagedmedievalist.org/projects.html)[
#### Historic Southern Naturalists
 McKissick Museum, the South Caroliniana Library, Digital Collections, and the Center for Digital Humanities created this digital collection combining library and museum artifacts in one place. Funded through an Aspire II grant.
](http://digitalussouth.org/historicsouthernnaturalists/)[
#### Scholar Commons Exhibits
 Explore exhibits from Scholar Commons, the Institutional Repository of the University of South Carolina.
](https://scholarcommons.sc.edu/exhibit/)"
Where can I learn more about the Digital Projects Showcase?,[Learn more here](https://www.sc.edu/about/offices_and_divisions/university_libraries/find_services/digital_research_services/digital_scholarship/digital_project_showcase/index.php)
