question,response,status
1. Can I use library resources to help me build a website?,"## How Can the Library Help? The library offers free web hosting for digital projects for faculty, staff, and graduate students through [USC Create Digital](https://uofsccreate.org/). We can help you plan your project and to discover, select, and use digital tools through [consultations for digital scholarship projects](https://libcal.library.sc.edu/appointments/kateboyd). The library additionally partners with the Humanities Collaborative on Digital Humanities. Learn more and get involved from the [Digital Humanities Working Group](https://sc.edu/study/colleges_schools/artsandsciences/centers_and_institutes/humanities_collaborative/digital_humanities/index.php).",Unmarked
2. What tools or services does the library offer for website creation?,"## How Can the Library Help? The library offers free web hosting for digital projects for faculty, staff, and graduate students through [USC Create Digital](https://uofsccreate.org/). We can help you plan your project and to discover, select, and use digital tools through [consultations for digital scholarship projects](https://libcal.library.sc.edu/appointments/kateboyd). The library additionally partners with the Humanities Collaborative on Digital Humanities. Learn more and get involved from the [Digital Humanities Working Group](https://sc.edu/study/colleges_schools/artsandsciences/centers_and_institutes/humanities_collaborative/digital_humanities/index.php).",Unmarked
3. I want to make a personal website – are there any library services that can assist me?,"## How Can the Library Help? The library offers free web hosting for digital projects for faculty, staff, and graduate students through [USC Create Digital](https://uofsccreate.org/). We can help you plan your project and to discover, select, and use digital tools through [consultations for digital scholarship projects](https://libcal.library.sc.edu/appointments/kateboyd). The library additionally partners with the Humanities Collaborative on Digital Humanities. Learn more and get involved from the [Digital Humanities Working Group](https://sc.edu/study/colleges_schools/artsandsciences/centers_and_institutes/humanities_collaborative/digital_humanities/index.php).",Unmarked
4. Does the library provide access to software or tutorials for web development?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",g
5. How can the library help me get started with creating my own website?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",b
1. Can you assist me in structuring my files?,"## Getting Started - What is your **research question**? - Pull together a **team** of support: librarians, computer programmers, statisticians are on campus and here to help. - These projects take **time** to pull together and perform.  Make sure you have this, especially for preparing the data. - Pull together a **machine-readable data set**. This could be through:Scanning and OCRing contentScraping the webRequesting licensed data from a company or vendor.",Unmarked
2. How do I categorize my information effectively?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",r
3. What's the best way to manage large amounts of data?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",g
4. Could you provide guidance on creating a data organization system?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",g
"5. I have numerous documents to sort, can you suggest an approach?","Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",g
1. What's the best way to share my academic work with a broader audience?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",g
2. I want to make my research accessible to everyone – what are my options?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",b
3. Can you suggest some platforms or methods for disseminating research findings to the general public?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",Unmarked
4. How can researchers like me effectively communicate our discoveries to non-experts?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",Unmarked
5. What channels or strategies would you recommend for sharing scholarly work with people outside of academia?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",Unmarked
1. What's the process for mapping my own information?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",b
2. Can you help me turn my data into a visual map?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",r
3. How can I use my collected data to generate a map?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",g
4. Is there a way to plot my data points on a custom map?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",g
5. What are the steps to create a geographic visualization of my dataset?,"## Choosing the Appropriate Visualization Visualization of data can be highly effective or ineffective based on the selection and application of the appropriate or inappropriate visualization technique. #### The Data Visualisation Catalogue What do you need your visualization to communicate to your audience? guides your consideration of various chart, graph, and other visualization approaches based on your communication and/or analysis requirements. - [The Data Visualisation Catalogue](https://datavizcatalogue.com/search.html)",Unmarked
1. Can I attend a data visualization workshop in any of the libraries?,## Data Vis Learning Sessions The Digital Research Services (DRS) unit of the University Libraries offers a variety of data visualization learning sessions each term. All sessions are open to all members of the University. Those sessions listed as being part of the  program provide credit to participants leading to successful completion of SHARPGrads requirements. Use the link below to see sessions currently being offered and register for those of interest. - [Currently available learning sessions and workshops](https://libcal.library.sc.edu/calendar/workshops?cid=16861&t=g&d=0000-00-00&cal=16861&inc=0),Unmarked
2. Are data visualization classes offered at library locations?,"## Ways We Can Assist - [Learning Sessions/Workshops](#s-lib-ctab-31341410-0) - [Online Consultations](#s-lib-ctab-31341410-1) - [University Libraries DataLab](#s-lib-ctab-31341410-2) We offer regularly scheduled online learning sessions each semester covering various aspects of data visualization. We cover - General data visualization knowledge, concepts, and considerations - Principles for selecting appropriate data visualization types and tools - Basic introductions to use of data visualization tools such a Microsoft Excel, Tableau Public, Microsoft Power BI, and scripting languages such as R and Python - Basic introduction to visualizing geospatial data using QGIS, and ArcGIS - [Register for a Learning Session](https://libcal.library.sc.edu/calendar/workshops?cid=16861&t=g&d=0000-00-00&cal=16861&ct=68190&inc=0)",Unmarked
3. Does the library system provide data visualization training sessions?,"## Ways We Can Assist - [Learning Sessions/Workshops](#s-lib-ctab-31341410-0) - [Online Consultations](#s-lib-ctab-31341410-1) - [University Libraries DataLab](#s-lib-ctab-31341410-2) We offer regularly scheduled online learning sessions each semester covering various aspects of data visualization. We cover - General data visualization knowledge, concepts, and considerations - Principles for selecting appropriate data visualization types and tools - Basic introductions to use of data visualization tools such a Microsoft Excel, Tableau Public, Microsoft Power BI, and scripting languages such as R and Python - Basic introduction to visualizing geospatial data using QGIS, and ArcGIS - [Register for a Learning Session](https://libcal.library.sc.edu/calendar/workshops?cid=16861&t=g&d=0000-00-00&cal=16861&ct=68190&inc=0)",Unmarked
4. How do I find information on upcoming data visualization workshops in the libraries?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",Unmarked
5. Are there any scheduled seminars on data visualization being held in the libraries this semester?,## Data Vis Learning Sessions The Digital Research Services (DRS) unit of the University Libraries offers a variety of data visualization learning sessions each term. All sessions are open to all members of the University. Those sessions listed as being part of the  program provide credit to participants leading to successful completion of SHARPGrads requirements. Use the link below to see sessions currently being offered and register for those of interest. - [Currently available learning sessions and workshops](https://libcal.library.sc.edu/calendar/workshops?cid=16861&t=g&d=0000-00-00&cal=16861&inc=0),Unmarked
1. What's the best way to begin managing my research data?,"Managing your data is an essential part of the research process. In this guide, you'll find an overview of the different types and formats of data produced during a scholarly investigation, guidance for creating data management plans and complying with the requirements of funding agencies, information about metadata, and help with sharing and archiving data securely for long-term use.",Unmarked
"2. I'm new to research, how should I organize my data from the start?","Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",g
3. Can you guide me through initiating a data management plan for my research project?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",Unmarked
4. How do researchers typically handle their data at the beginning of a project?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",g
5. What initial steps should I take to ensure proper management of my research data?,"Managing your data is an essential part of the research process. In this guide, you'll find an overview of the different types and formats of data produced during a scholarly investigation, guidance for creating data management plans and complying with the requirements of funding agencies, information about metadata, and help with sharing and archiving data securely for long-term use.",Unmarked
1. Can you explain the basics of machine learning?,"## What is Machine Learning? A machine is said to be if its performance or efficiency for a given task improves with the experience (past data). Machine Learning uses advanced algorithms to analyze and learn relationships between the data to make intelligent decisions on what it has learned. The algorithms use a large amount of data to find the relationship. This relationship is called a which is used to make useful predictions or generate content from the data. For example, we need physics-based mathematical equations of Earth's atmosphere to predict rainfall using traditional methods. Solving these complex equations requires massive computing resources and time, making the prediction task difficult. With the ML approach, we could provide enormous data to an ML model until the ML model eventually  the mathematical relationship between weather factors producing varying quantities of rain. If we give this model the current weather data, it would predict the amount of rain in the future.",Unmarked
2. What is the process behind a machine's ability to learn from data?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",g
3. How do algorithms enable machines to make decisions based on experience?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",g
4. I'd like to understand how neural networks function in simple terms.,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",g
5. Can you describe the difference between supervised and unsupervised machine learning?,"## What are the different types of Machine Learning? There are 4 major types of ML problems: - Used for tasks where the target variable has defined labels or values.The target variable has 2 labels (binary class classification) or more (multiclass classification). For example:Whether USA will win or lose a match (binary).Gmail classifying email in classes like social, promotion, updates, or spam (multiclass).The output is numeric and has a continuous value and the task is to predict a value as closer to the actual output value. For example predict stock price of a stock. - Used for tasks where the target variable or output has no defined labels and hidden patterns in the data are discovered without human intervention.Discovering the inherent groupings in the data such as grouping customers by their purchasing behavior.Discover rules that describe large portions of the data, such as people that buy X also tend to buy Y - This is a hybrid technique between supervised and unsupervised learning, utilizing both labeled and unlabeled data. - Learning happens by taking suitable action to maximize reward in a particular situation. It is employed by various software and machines to find the best possible behavior or path to take in a specific situation. If there is no training data, it is bound to learn from its experience. Reward is defined by the experts. Figure (2) gives the example of  supervised and unsupervised Learning.",Unmarked
1. Can you name some real-world uses of artificial intelligence?,"Sorry, I am a bit unsure with my response. Is this what you were looking for? [1]",b
2. In what industries is AI being utilized today?,"## What are the subfields of AI? The term AI can be used for any system mimicking human cognitive skills, such as planning, pattern recognition, and decision-making.",Unmarked
