Question,Answer
Does the library provide access to the Wall Street Journal online?,"Yes! University Libraries has a Wall Street Journal Higher Education Membership which provides free individual access for all USC Columbia students, faculty, and staff through WSJ.com, as well as WSJ apps, subscriber-only podcasts, and videos. Learn more here: https://libanswers.library.sc.edu/faq/221692"
Why can't I connect to the eduroam wireless network?,"To access the eduroam wireless network, you must use your Network username with @ds.sc.edu added to the end. Your Network password is the same as your email password.The most common problem that is NOT related to general capacity or hardware issues is that your password has expired and needs to be updated. Learn more here: https://libanswers.library.sc.edu/faq/23748"
How can I contact the library?,"For general inquiries, you can email us at digres@mailbox.sc.edu or connect with us through our Digital Research and Collections Insights Listserv here: https://sc.libwizard.com/f/digireslib. We're happy to assist you!"
What AI services does the library offer?,"The library offers support with the application of AI and Machine Learning (ML) tools for your research and projects. You can also receive guidance on the safe and responsible usage of generative AI (GenAI) for your research, teaching, and learning.Learn more here: https://sc.edu/about/offices_and_divisions/university_libraries/find_services/digital_research_services/ai_data_science_support/index.php"
who leads digital research services?,"The Director of Digital Research Services is Kate Boyd. Phone: 803-777-2249 Email: boydkf@mailbox.sc.edu"
Data analysis help,"The library offers support for doing exploratory data analysis and helps with quantitative and qualitative statistical software products. Learn more here: https://guides.library.sc.edu/c.php?g=1335227"
How can I use digital tools in research?,"The library offers support for using digital processes, tools, and methods to enable and present new forms of research. Learn more here: https://sc.edu/about/offices_and_divisions/university_libraries/find_services/digital_research_services/digital_scholarship/index.php"
Data organization,"The University Libraries provide support throughout the research data lifecycle, including assistance with data management plans, finding open datasets, data sharing, metadata, and more. Learn more here: https://sc.edu/about/offices_and_divisions/university_libraries/find_services/digital_research_services/research_data_management/index.php"
How can I visualize my research data?,"Data visualization support may be desired at any stage of your research process. The University Libraries offers resources and services useful in data visualization. Learn more here: https://sc.edu/about/offices_and_divisions/university_libraries/find_services/digital_research_services/data_visualization_gis/index.php"
Does the library offer workshops?,"You can register for free library workshops on a variety of research data and publishing topics. Learn more here: https://libcal.library.sc.edu/calendar/workshops?cid=16861&t=g&d=0000-00-00&cal=16861&inc=0"
